Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,match_result,home_rank,away_rank,rank_diff,Unnamed: 0,group,rank,team,matches_played,wins,draws,losses,goals_scored,goals_against,goal_difference,points,expected_goal_scored,exp_goal_conceded,exp_goal_difference,exp_goal_difference_per_90,Unnamed: 0_away,group_away,rank_away,team_away,matches_played_away,wins_away,draws_away,losses_away,goals_scored_away,goals_against_away,goal_difference_away,points_away,expected_goal_scored_away,exp_goal_conceded_away,exp_goal_difference_away,exp_goal_difference_per_90_away,xg_diff,goals_scored_diff,goal_difference_diff,wins_diff,exp_goal_conceded_diff,Unnamed: 0_home,group_home,rank_home,team_home,matches_played_home,wins_home,draws_home,losses_home,goals_scored_home,goals_against_home,goal_difference_home,points_home,expected_goal_scored_home,exp_goal_conceded_home,exp_goal_difference_home,exp_goal_difference_per_90_home
1994.0,1994-06-21 12:30:00,Group D,Foxboro Stadium,Boston ,Argentina,4.0,0.0,Greece, ,54456.0,2.0,0.0,ANGELES Arturo (USA),PARK Hae-Yong (KOR),DOLSTRA Jan (NED),337.0,3059.0,ARG,GRE,Home Win,8.0,31.0,-23.0,8.0,3.0,1.0,Argentina,3.0,2.0,0.0,1.0,5.0,2.0,3.0,6.0,6.0,0.7,5.2,1.74,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,1.0,Argentina,3.0,2.0,0.0,1.0,5.0,2.0,3.0,6.0,6.0,0.7,5.2,1.74
1994.0,1994-06-21 19:30:00,Group D,Cotton Bowl,Dallas ,Nigeria,3.0,0.0,Bulgaria, ,44132.0,2.0,0.0,BADILLA Rodrigo (CRC),DUNSTER Gordon (AUS),BRAZZALE Eugene (AUS),337.0,3061.0,NGA,BUL,Home Win,11.0,29.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-21 16:00:00,Group C,Soldier Field,Chicago ,Germany,1.0,1.0,Spain, ,63113.0,0.0,1.0,FILIPPI Ernesto (URU),ZARATE Venancio (PAR),TAIBI Ernesto (ARG),337.0,3060.0,GER,ESP,Draw,1.0,5.0,-4.0,18.0,5.0,3.0,Germany,3.0,1.0,1.0,1.0,6.0,5.0,1.0,4.0,10.1,3.4,6.7,2.22,17.0,5.0,2.0,Spain,3.0,1.0,1.0,1.0,9.0,3.0,6.0,4.0,5.2,2.7,2.5,0.82,4.8999999999999995,-3.0,-5.0,0.0,0.6999999999999997,18.0,5.0,3.0,Germany,3.0,1.0,1.0,1.0,6.0,5.0,1.0,4.0,10.1,3.4,6.7,2.22
1994.0,1994-06-22 16:00:00,Group A,Pontiac Silverdome,Detroit ,Romania,1.0,4.0,Switzerland, ,61428.0,1.0,1.0,JOUINI Neji (TUN),HASSAN Abdel-Magid (EGY),FANAEI Mohammad (IRN),337.0,3062.0,ROU,SUI,Away Win,7.0,12.0,-5.0,,,,,,,,,,,,,,,,,25.0,7.0,2.0,Switzerland,3.0,2.0,0.0,1.0,4.0,3.0,1.0,6.0,4.4,3.1,1.4,0.45,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-22 19:30:00,Group A,Rose Bowl,Los Angeles ,USA,2.0,1.0,Colombia, ,93869.0,1.0,0.0,BALDAS Fabio (ITA),RAMICONE Domenico (ITA),RHARIB El Jilali Mohamed (MAR),337.0,3063.0,USA,COL,Home Win,23.0,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-23 16:00:00,Group E,Giants Stadium,New York/New Jersey ,Italy,1.0,0.0,Norway, ,74624.0,0.0,0.0,KRUG Hellmut (GER),YLI-KARRO Tapio (FIN),PEARSON Roy (ENG),337.0,3064.0,ITA,NOR,Home Win,4.0,6.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-23 19:30:00,Group C,Foxboro Stadium,Boston ,Korea Republic,0.0,0.0,Bolivia, ,54453.0,0.0,0.0,MOTTRAM Leslie (SCO),MATTHYS Luc (BEL),EVERSTIG Mikael (SWE),337.0,3065.0,KOR,BOL,Draw,37.0,43.0,-6.0,29.0,8.0,2.0,Korea Republic,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,4.1,3.5,0.6,0.19,,,,,,,,,,,,,,,,,,,,,,29.0,8.0,2.0,Korea Republic,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,4.1,3.5,0.6,0.19
1994.0,1994-06-24 12:30:00,Group E,Citrus Bowl,Orlando ,Mexico,2.0,1.0,"rn"">Republic of Ireland", ,60790.0,1.0,0.0,ROETHLISBERGER Kurt (SUI),LISTKIEWICZ Michal (POL),ALVES Paulo Jorge (BRA),337.0,3066.0,MEX,IRL,Home Win,16.0,,,10.0,3.0,3.0,Mexico,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,4.0,3.3,2.4,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,3.0,Mexico,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,4.0,3.3,2.4,0.9,0.3
1994.0,1994-06-24 19:30:00,Group B,Pontiac Silverdome,Detroit ,Sweden,3.0,1.0,Russia, ,71528.0,1.0,1.0,QUINIOU Joel (FRA),FANAEI Mohammad (IRN),HASSAN Abdel-Magid (EGY),337.0,3068.0,SWE,RUS,Home Win,10.0,19.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,1994-06-24 16:00:00,Group B,Stanford Stadium,San Francisco ,Brazil,3.0,0.0,Cameroon, ,83401.0,1.0,0.0,BRIZIO CARTER Arturo (MEX),JAMES Douglas Micael (TRI),CHRISTENSEN Carl-Johan Meyer (DEN),337.0,3067.0,BRA,CMR,Home Win,3.0,24.0,-21.0,24.0,7.0,1.0,Brazil,3.0,2.0,0.0,1.0,3.0,1.0,2.0,6.0,5.9,0.9,4.9,1.65,26.0,7.0,3.0,Cameroon,3.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,3.4,5.8,-2.3,-0.78,2.5000000000000004,-1.0,2.0,1.0,-4.8999999999999995,24.0,7.0,1.0,Brazil,3.0,2.0,0.0,1.0,3.0,1.0,2.0,6.0,5.9,0.9,4.9,1.65
1994.0,1994-06-25 12:30:00,Group F,Citrus Bowl,Orlando ,Belgium,1.0,0.0,Netherlands, ,62387.0,0.0,0.0,MARSIGLIA Renato (BRA),ALVES Paulo Jorge (BRA),LISTKIEWICZ Michal (POL),337.0,3069.0,BEL,NED,Home Win,27.0,2.0,25.0,22.0,6.0,3.0,Belgium,3.0,1.0,1.0,1.0,1.0,2.0,-1.0,4.0,4.7,4.6,0.2,0.05,0.0,1.0,1.0,Netherlands,3.0,2.0,1.0,0.0,5.0,1.0,4.0,7.0,2.4,2.7,-0.3,-0.11,2.3000000000000003,-4.0,-5.0,-1.0,1.8999999999999995,22.0,6.0,3.0,Belgium,3.0,1.0,1.0,1.0,1.0,2.0,-1.0,4.0,4.7,4.6,0.2,0.05
1994.0,1994-06-25 12:30:00,Group F,Giants Stadium,New York/New Jersey ,Saudi Arabia,2.0,1.0,Morocco, ,76322.0,2.0,1.0,DON Philip (ENG),PEARSON Roy (ENG),YLI-KARRO Tapio (FIN),337.0,3070.0,KSA,MAR,Home Win,34.0,28.0,6.0,11.0,3.0,4.0,Saudi Arabia,3.0,1.0,0.0,2.0,3.0,5.0,-2.0,3.0,3.0,6.0,-3.0,-1.01,20.0,6.0,1.0,Morocco,3.0,2.0,1.0,0.0,4.0,1.0,3.0,7.0,2.4,2.8,-0.5,-0.15,0.6000000000000001,-1.0,-5.0,-1.0,3.2,11.0,3.0,4.0,Saudi Arabia,3.0,1.0,0.0,2.0,3.0,5.0,-2.0,3.0,3.0,6.0,-3.0,-1.01
1994.0,1994-06-25 16:00:00,Group D,Foxboro Stadium,Boston ,Argentina,2.0,1.0,Nigeria, ,54453.0,2.0,1.0,KARLSSON Bo (SWE),EVERSTIG Mikael (SWE),MATTHYS Luc (BEL),337.0,3071.0,ARG,NGA,Home Win,8.0,11.0,-3.0,8.0,3.0,1.0,Argentina,3.0,2.0,0.0,1.0,5.0,2.0,3.0,6.0,6.0,0.7,5.2,1.74,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,1.0,Argentina,3.0,2.0,0.0,1.0,5.0,2.0,3.0,6.0,6.0,0.7,5.2,1.74
